numeric_id,species,height_m,crown_volume_m3,pts_per_voxel,vol_fill_fraction,densest_slice_height_m,gap_fraction,leaf_voxel_density,ENL,FHD,LAD
227,Lar_dec,6.696,164.6464758085,58.2469727226377,0.071473309489664,3.25,0.474523704031901,2412,12.8943219461761,3.87057728719744,0.162938515053505
232,Pru_avi,5.984,157.375360598667,23.0624916178314,0.136217414097126,3.25,0.128046078865751,4466,10.6697283384322,3.54013486067878,0.587247168201458
247,Pop_tre,11.54,527.652255900834,13.6707014624827,0.0528181008062816,2.75,0.357554475058527,3726,21.8716740674777,4.55776319431636,0.155828416768227
257,Pse_men,7.648,206.009576496334,25.7819964988964,0.111595924493686,0.55,0.340941512125535,4740,14.4852902286942,3.94609267074452,0.253186902377195
270,Aln_glu,5.459,111.960390268167,39.5983171997405,0.178973854064107,2.05,0.309566250742721,4578,10.658933469946,3.53850609186112,0.358040657232806
274,Pop_tre,6.906,203.0022598065,30.3611917989088,0.123599076016773,3.95,0.335135135135135,4830,13.354951063479,3.83789469209755,0.280313189752111
277,Pru_avi,7.343,228.096315996,22.7625406209822,0.108268934513511,2.25,0.227220848392619,5084,12.7476168028563,3.82682215012515,0.336780189557633
281,Lar_dec,6.628,128.122053779167,36.1324335087776,0.090406887921421,1.05,0.371474717356193,2187,13.414712176762,3.84542955819651,0.253916531463847
298,Abi_gra,8.322,156.779981802,26.2599558376183,0.103216377298167,1.95,0.321678321678322,2792,15.8250573440769,4.09099252519286,0.241319836972513
327,Sal_cap,4.565,256.991095585167,14.6443311911128,0.110057456776526,2.15,0.0778443113772455,7189,8.39920798852352,3.16357965923234,1.00119390390401
332,Pin_nig,8.364,176.247259180167,23.0018837429638,0.127225001701722,1.95,0.266357495715294,3877,15.8474709905502,4.1094046691408,0.26591274445502
333,Pin_nig,6.285,136.313982040667,35.6479560324522,0.087600645599105,1.85,0.289722507708119,2517,11.9637978055252,3.68712296215506,0.346526345193269
342,Pse_men,6.5,126.581692995167,26.4876688665872,0.104856913070913,0.75,0.418962289382188,5038,11.0058734030821,3.61278249220989,0.233550164989226
467,Til_tom,6.223,157.0975691955,36.3087830511302,0.0954070296733449,2.35,0.395845136921624,3026,12.2279465181158,3.70118799913382,0.264780632169878
499,Til_tom,4.789,75.3366799448333,33.4939607825076,0.144086735074782,2.25,0.397850485067529,2881,9.3055635373499,3.32187481985381,0.317820348254205
502,Ced_deo,7.387,71.6945484926667,29.0417430591933,0.106446784449095,1.65,0.558958980400557,1575,12.7243204846856,3.82921663601884,0.139324356608506
518,Til_tom,5.707,88.3106839101666,21.7946524981944,0.197750155551785,2.75,0.488882911959835,3635,11.029838466755,3.54829948365933,0.223635081882324
